(19207, 8215.8095703125)
(19208, 7744.3291015625)
(19209, 7288.05859375)
(19210, 6207.111328125)
(19211, 8858.6982421875)
(19212, 7718.78515625)
(19213, 8601.23828125)
(19214, 8147.34326171875)
(19215, 6512.708984375)
(19216, 7287.638671875)
(19217, 6560.80224609375)
(19218, 6067.1435546875)
(19219, 7318.7412109375)
(19220, 7537.03125)
(19221, 6556.48291015625)
(19222, 7667.8505859375)
(19223, 8494.3623046875)
(19224, 7279.60888671875)
(19225, 7507.96337890625)
(19226, 7923.46142578125)
(19227, 6633.3251953125)
(19228, 8715.01953125)
(19229, 7076.595703125)
(19230, 6490.591796875)
(19231, 7294.859375)
(19232, 6717.392578125)
(19233, 8406.2685546875)
(19234, 6926.126953125)
(19235, 6793.69287109375)
(19236, 7245.73193359375)
(19237, 7101.853515625)
(19238, 6467.427734375)
(19239, 8239.9462890625)
(19240, 7890.40771484375)
(19241, 7149.79833984375)
(19242, 6779.3623046875)
(19243, 7393.05322265625)
(19244, 7066.580078125)
(19245, 8038.171875)
(19246, 7590.67138671875)
(19247, 9338.2490234375)
(19248, 8114.875)
(19249, 7669.77685546875)
(19250, 8129.5478515625)
(19251, 8316.0185546875)
(19252, 6108.9951171875)
(19253, 7393.5283203125)
(19254, 9298.2646484375)
(19255, 8733.265625)
(19256, 7831.12646484375)
(19257, 7359.634765625)
(19258, 7316.4130859375)
(19259, 6754.6015625)
(19260, 6497.65673828125)
(19261, 6702.416015625)
(19262, 6769.09619140625)
(19263, 8684.8662109375)
(19264, 7163.87890625)
(19265, 7679.1416015625)
(19266, 7622.29443359375)
(19267, 8056.6533203125)
(19268, 8020.76708984375)
(19269, 6780.65283203125)
(19270, 6604.99462890625)
(19271, 6884.1298828125)
(19272, 8074.53662109375)
(19273, 8759.578125)
(19274, 6962.52734375)
(19275, 7142.5322265625)
(19276, 6763.6005859375)
(19277, 6110.80029296875)
(19278, 7289.91064453125)
(19279, 7014.71484375)
(19280, 8597.3251953125)
(19281, 7993.3349609375)
(19282, 7562.70654296875)
(19283, 7384.19921875)
(19284, 6821.64794921875)
(19285, 7544.80859375)
(19286, 7834.04833984375)
(19287, 7192.1689453125)
(19288, 8508.44921875)
(19289, 7693.78955078125)
(19290, 7736.64013671875)
(19291, 7979.9296875)
(19292, 7541.8291015625)
(19293, 5730.77734375)
(19294, 9330.6435546875)
(19295, 8835.6064453125)
(19296, 6845.45068359375)
(19297, 6103.1953125)
(19298, 7224.357421875)
(19299, 8239.296875)
(19300, 8043.02587890625)
(19301, 7778.9150390625)
(19302, 5769.64990234375)
(19303, 7386.779296875)
(19304, 7428.556640625)
(19305, 7594.24267578125)
(19306, 6249.865234375)
(19307, 7313.76708984375)
(19308, 8505.4541015625)
(19309, 8849.9873046875)
(19310, 7397.064453125)
(19311, 7051.087890625)
(19312, 6378.2783203125)
(19313, 7147.01953125)
(19314, 7404.81787109375)
(19315, 8430.5927734375)
(19316, 7506.798828125)
(19317, 7429.8740234375)
(19318, 6203.58740234375)
(19319, 6822.7880859375)
(19320, 9396.068359375)
(19321, 6921.328125)
(19322, 7746.22412109375)
(19323, 8433.986328125)
(19324, 7163.46923828125)
(19325, 7097.00390625)
(19326, 8031.89990234375)
(19327, 7154.9658203125)
(19328, 8305.37109375)
(19329, 7501.01708984375)
(19330, 6401.7763671875)
(19331, 7288.009765625)
(19332, 6154.75732421875)
(19333, 7345.05908203125)
(19334, 9652.46484375)
(19335, 8987.37890625)
(19336, 7221.0771484375)
(19337, 7276.91455078125)
(19338, 7474.34521484375)
(19339, 8370.875)
(19340, 7296.09423828125)
(19341, 7199.2724609375)
(19342, 5873.01171875)
(19343, 8486.626953125)
(19344, 8890.138671875)
(19345, 6011.25)
(19346, 7214.5908203125)
(19347, 6937.6767578125)
(19348, 9498.6474609375)
(19349, 6622.841796875)
(19350, 7469.869140625)
